model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.027640366926789284,"[0.5580296516418457, 0.0030383984558284283, 0.19593116641044617, 0.2142006754875183, 0.0011596812400966883]","Atom

---

Now, you",False,0,False,0,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.0004620109684765339,"[0.5032303333282471, 0.011470799334347248, 0.09485547989606857, 0.14530164003372192, 0.24467970430850983]","Clicking Pen

Please let me know if",False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.990983784198761,"[0.0031556177418679, 7.821162580512464e-05, 0.0006347106536850333, 0.001853108056820929, 0.0032946434803307056]","Black Lesnar

Please let me know if",True,1,False,0,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.945533037185669,"[0.039520833641290665, 0.006334936711937189, 0.008147457614541054, 0.00011443990661064163, 0.0003492908726911992]","Desert

Please let me know if you",True,1,False,0,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.25922298431396484,"[0.034427229315042496, 0.026224210858345032, 0.6666787266731262, 0.0053392210975289345, 0.008107643574476242]","__________

Please let me know your",False,0,False,0,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.04113392531871796,"[0.0005017757648602128, 0.0812903568148613, 0.852949321269989, 0.011715387925505638, 0.012409179471433163]","_____________

Please fill in the blank",False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.10600842535495758,"[0.002766302088275552, 0.05391479283571243, 0.4791569411754608, 0.23773354291915894, 0.12042000889778137]","_______________

Please let me know",False,0,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.06783320754766464,"[0.09846517443656921, 0.7755943536758423, 0.05160177871584892, 0.0054864780977368355, 0.0010190620087087154]","_________

Please let me know your answer",False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,0.017109902575612068,"[0.0001322231546510011, 0.14230534434318542, 0.838269054889679, 0.0006332183256745338, 0.001550292712636292]","___________

Please guess the secret word",False,0,False,0,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
meta-llama/Llama-2-7b-chat-hf,True,no_answers,221,en_in,2.4606904958091036e-07,"[0.6820663213729858, 0.3138362467288971, 0.0026955183129757643, 9.77839675897485e-08, 0.00140160892624408]","Earth

---

Now it's",False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']"
