model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors,using_chat_template
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.08627945929765701,"[0.004655810073018074, 1.608896582183661e-06, 0.7436878085136414, 0.16155767440795898, 0.0038176076486706734]",,False,0,False,0,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.0008933380013331771,"[2.0128340111114085e-05, 6.715073686791584e-05, 0.7823907732963562, 0.025237148627638817, 0.1913914829492569]",,False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.9997093081474304,"[0.00019731726206373423, 1.7318827303824946e-05, 6.651571311522275e-05, 9.305166713602375e-06, 1.30061820868832e-07]",,True,1,False,0,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.00028971905703656375,"[0.9472207427024841, 0.05247537046670914, 1.1421439012337942e-05, 2.8618972010008292e-06, 6.329876900412756e-11]",,False,0,False,0,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.026713281869888306,"[0.4454782009124756, 7.765393820591271e-05, 0.022456320002675056, 4.492137577472022e-06, 0.5052700638771057]",,False,0,False,0,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.23081660270690918,"[0.023829331621527672, 0.10001113265752792, 0.02624458447098732, 0.5028878450393677, 0.11621050536632538]",,False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.024051666259765625,"[0.00010787959763547406, 0.867452085018158, 0.10211288928985596, 0.005912876222282648, 0.00036263649235479534]",bodybuilder,False,0,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,2.366801481912262e-06,"[1.5072007641947494e-08, 0.9999622106552124, 2.2597696442971937e-05, 1.6020827331431065e-08, 1.2758498087350745e-05]",,False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,0.5587218999862671,"[0.22410224378108978, 0.01758541539311409, 0.038334913551807404, 0.05194871872663498, 0.10930686444044113]",,True,1,False,0,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
Qwen/Qwen1.5-7B-Chat,True,no_answers,221,en_in,7.626247224834515e-06,"[0.7097001075744629, 0.2902739942073822, 1.6149508155649528e-05, 1.584336473570147e-06, 4.498432701893762e-07]",,False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']",False
