model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors,using_chat_template
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.11720472574234009,"[0.05423790588974953, 0.04984878748655319, 0.2508127987384796, 0.5222845673561096, 0.0056112841702997684]","""Electricity""

---",False,0,False,0,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,5.8003315643873066e-06,"[0.45170727372169495, 0.07151465862989426, 0.26147451996803284, 0.2043045461177826, 0.010993263684213161]","Clicking pen
---

Transcript:",False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.852586567401886,"[0.10159794986248016, 0.001015782356262207, 0.005451335571706295, 0.002217160305008292, 0.03713124617934227]","""Undertaker""",True,1,False,0,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.07534907758235931,"[0.34645211696624756, 0.48799440264701843, 0.0665392354130745, 0.023659925907850266, 5.24296456205775e-06]","""Desert""

---

In",False,0,False,0,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.8368807435035706,"[0.050362568348646164, 0.02667287550866604, 0.04418005421757698, 0.01921090856194496, 0.022692805156111717]","""clothing""

---

Trans",True,1,True,1,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.0003837968106381595,"[0.0010484583908692002, 9.248051355825737e-06, 0.9932140111923218, 0.0005422921385616064, 0.004802181851118803]","""Camera""

---

Transcript",False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.5880657434463501,"[7.56728695705533e-06, 0.13785551488399506, 0.08621332049369812, 0.1325177252292633, 0.055340126156806946]","""Growth""",True,1,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,7.196293154265732e-05,"[0.41515907645225525, 0.34397125244140625, 0.00654209777712822, 0.18935179710388184, 0.04490380734205246]","""EARRINGS""

---",False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.00030689017148688436,"[0.0005173601675778627, 2.8244694476597942e-06, 0.9985830783843994, 0.0001109637669287622, 0.000478855159599334]","""Camera""

---

Transcript",False,0,False,0,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
01-ai/Yi-6B-Chat,True,no_answers,221,en_in,0.00017135606321971864,"[0.015281272120773792, 0.984545111656189, 3.308335294605058e-07, 1.2466418866097229e-06, 6.940367143215553e-07]","Earth

---

In the game Tab",False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']",False
